close,high,low,open,time,volume
2.1212,2.1212,2.1146,2.1146,1749789600,30313
2.1146,2.1161,2.1129,2.1143,1749789300,24590
2.1142,2.1157,2.1125,2.1133,1749789000,27751
2.1141,2.115,2.1094,2.1114,1749788700,14119
2.1105,2.1149,2.1089,2.1141,1749788400,27145
2.1139,2.1154,2.1089,2.1117,1749788100,37781
2.1117,2.1158,2.111,2.1151,1749787800,32770
2.1153,2.1171,2.1125,2.1166,1749787500,55302
2.1166,2.1233,2.1166,2.1229,1749787200,110052
2.1244,2.1327,2.1243,2.1294,1749786900,61074
2.1303,2.1318,2.1193,2.1197,1749786600,58737
2.1203,2.1238,2.1197,2.1215,1749786300,22116
2.1209,2.1235,2.1204,2.1223,1749786000,11775
2.1221,2.1258,2.1208,2.1258,1749785700,16573
2.1258,2.1264,2.1184,2.1193,1749785400,43070
2.1201,2.124,2.1192,2.1204,1749785100,17527
2.12,2.1247,2.1189,2.1217,1749784800,62069
2.1219,2.1219,2.1126,2.1131,1749784500,56940
2.1132,2.1152,2.1101,2.1104,1749784200,61855
2.1109,2.1113,2.1028,2.1028,1749783900,36145
2.1015,2.1048,2.1,2.1007,1749783600,25495
2.101,2.1015,2.0947,2.0952,1749783300,6577
2.0954,2.1023,2.0953,2.0995,1749783000,47101
2.0996,2.0998,2.0828,2.0844,1749782700,71015
2.0851,2.0926,2.0814,2.0921,1749782400,115521
2.0927,2.1044,2.0912,2.1035,1749782100,32581
2.1042,2.1067,2.0996,2.1007,1749781800,77858
2.1008,2.1033,2.0912,2.092,1749781500,71513
2.0917,2.1008,2.0911,2.0986,1749781200,17998
2.0992,2.1018,2.092,2.0951,1749780900,44712
2.0964,2.1059,2.0958,2.0997,1749780600,30539
2.0993,2.1025,2.0964,2.1015,1749780300,43664
2.1008,2.1109,2.1,2.1088,1749780000,51135
2.11,2.1142,2.1085,2.112,1749779700,34655
2.1122,2.1131,2.1082,2.1099,1749779400,35199
2.1103,2.1171,2.1082,2.1085,1749779100,57751
2.1087,2.1087,2.0833,2.0918,1749778800,59813
2.0926,2.0998,2.0887,2.0939,1749778500,62766
2.0944,2.1056,2.0944,2.1048,1749778200,67332
2.105,2.1128,2.1021,2.1042,1749777900,25581
2.1065,2.1147,2.1012,2.1102,1749777600,128003
2.1086,2.1129,2.0903,2.0911,1749777300,142760
2.0909,2.1078,2.0856,2.1074,1749777000,147854
2.1071,2.1159,2.1038,2.1102,1749776700,52611
2.1104,2.1237,2.1043,2.1236,1749776400,72206
2.124,2.1309,2.1164,2.1202,1749776100,40272
2.1171,2.1279,2.1166,2.1265,1749775800,39633
2.1277,2.1359,2.1244,2.1295,1749775500,26589
2.1273,2.1332,2.1141,2.1186,1749775200,47214
2.1212,2.1235,2.0941,2.1098,1749774900,85393
2.1103,2.1403,2.1059,2.1328,1749774600,273141
2.1332,2.1419,2.1297,2.1387,1749774300,66449
2.1394,2.158,2.139,2.1567,1749774000,40898
2.1542,2.1595,2.1467,2.1493,1749773700,45853
2.1501,2.165,2.1397,2.165,1749773400,185681
2.1672,2.1771,2.165,2.1729,1749773100,48830
2.1752,2.1905,2.1703,2.1894,1749772800,47960
2.1892,2.1941,2.1884,2.1919,1749772500,21353
2.1923,2.1959,2.1918,2.1959,1749772200,4822
2.1957,2.1961,2.1927,2.1937,1749771900,8266
2.196,2.1963,2.1934,2.1934,1749771600,11103
2.1928,2.1937,2.1899,2.1899,1749771300,9485
2.1908,2.1935,2.19,2.1927,1749771000,6279
2.1931,2.1942,2.1926,2.1932,1749770700,4164
2.1931,2.1948,2.189,2.1892,1749770400,7523
2.1893,2.1895,2.1839,2.186,1749770100,8674
2.1857,2.1929,2.1852,2.1899,1749769800,8178
2.19,2.191,2.1883,2.1889,1749769500,11972
2.1882,2.1911,2.1859,2.1859,1749769200,13049
2.1869,2.1875,2.1828,2.1835,1749768900,3174
2.1835,2.1863,2.1818,2.1825,1749768600,15925
2.1835,2.185,2.1807,2.1831,1749768300,16778
2.1816,2.188,2.18,2.1852,1749768000,26273
2.1859,2.1892,2.1851,2.1853,1749767700,20143
2.1845,2.1877,2.1834,2.1856,1749767400,22849
2.186,2.1925,2.186,2.1913,1749767100,21382
2.1894,2.1926,2.1885,2.1885,1749766800,7283
2.1891,2.1961,2.1891,2.196,1749766500,5758
2.1961,2.1965,2.1912,2.192,1749766200,5066
2.1943,2.1969,2.1929,2.1954,1749765900,2642
2.196,2.196,2.1898,2.1898,1749765600,16095
2.189,2.2005,2.1874,2.2005,1749765300,12335
2.2005,2.2038,2.2003,2.2038,1749765000,34247
2.2035,2.2044,2.2006,2.2006,1749764700,25477
2.2002,2.201,2.1936,2.1943,1749764400,13492
2.1943,2.2006,2.1929,2.1991,1749764100,35462
2.1993,2.2016,2.199,2.2012,1749763800,11403
2.201,2.2015,2.1973,2.1986,1749763500,17076
2.1979,2.199,2.1933,2.1933,1749763200,11337
2.1925,2.1967,2.1911,2.1928,1749762900,14821
2.1923,2.1938,2.185,2.185,1749762600,35216
2.1842,2.1877,2.177,2.1848,1749762300,37968
2.1841,2.185,2.1787,2.1809,1749762000,25259
2.1832,2.185,2.1696,2.1724,1749761700,78849
2.1715,2.1821,2.1714,2.178,1749761400,106617
2.1783,2.1869,2.1747,2.1865,1749761100,84439
2.1863,2.1934,2.1824,2.192,1749760800,83665
2.193,2.2038,2.1914,2.2019,1749760500,93030
2.2019,2.2118,2.2019,2.2107,1749760200,17662
2.2107,2.2117,2.2046,2.2079,1749759900,30610
2.2071,2.2099,2.205,2.2089,1749759600,9969
2.2101,2.2117,2.2027,2.2039,1749759300,9138
2.2036,2.2119,2.2034,2.2097,1749759000,19438
2.2098,2.2111,2.205,2.2061,1749758700,14262
2.2062,2.21,2.1972,2.2027,1749758400,135898
2.2028,2.2083,2.2015,2.2073,1749758100,60949
2.2062,2.2107,2.2035,2.209,1749757800,64753
2.2092,2.2269,2.2066,2.2269,1749757500,355086
2.2272,2.2322,2.227,2.2296,1749757200,53341
2.2291,2.2374,2.229,2.2374,1749756900,43820
2.2394,2.2394,2.236,2.2369,1749756600,4640
2.2379,2.241,2.2362,2.2403,1749756300,12706
2.2383,2.2412,2.2359,2.2359,1749756000,7850
2.2365,2.242,2.2365,2.2402,1749755700,9839
2.2402,2.2407,2.2362,2.2388,1749755400,22836
2.2386,2.2391,2.2353,2.2387,1749755100,13020
2.2389,2.2391,2.2334,2.2374,1749754800,26080
2.2372,2.2388,2.2357,2.2363,1749754500,30380
2.2364,2.237,2.2304,2.2305,1749754200,74182
2.2307,2.2334,2.2293,2.2328,1749753900,71304
2.2332,2.2406,2.2322,2.2405,1749753600,76040
2.2401,2.2411,2.2387,2.2397,1749753300,17759
2.2399,2.24,2.2331,2.2353,1749753000,63805
2.2355,2.2377,2.2328,2.2375,1749752700,77235
2.2375,2.241,2.2366,2.2403,1749752400,89392
2.2403,2.2449,2.2385,2.2441,1749752100,73661
2.2437,2.2477,2.2437,2.2443,1749751800,30862
2.2441,2.2484,2.2436,2.2483,1749751500,130288
2.249,2.2521,2.2488,2.2512,1749751200,48469
2.2516,2.2535,2.2505,2.2534,1749750900,42869
2.254,2.2546,2.2512,2.2532,1749750600,48518
2.2536,2.2542,2.2526,2.2528,1749750300,40708
2.2528,2.2536,2.2512,2.2514,1749750000,39960
2.2514,2.2529,2.2501,2.2529,1749749700,41320
2.2527,2.2543,2.2504,2.2504,1749749400,80795
2.2502,2.2511,2.2486,2.2486,1749749100,53432
2.2484,2.2503,2.2479,2.2499,1749748800,40182
2.2492,2.2498,2.2455,2.2466,1749748500,54841
