,time,volume,Timestamp,close,open,high,low,RF_BuySignal,RF_SellSignal,rsi_buy,rsi_sell,gaizy_color,GreenArrow,RedArrow
1970-01-01 00:00:00.000000637,1748922300,3385,2025-06-03 03:45:00,2562.9125,2567.1456659636597,2591.1,2553.3,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000638,1748923200,4651,2025-06-03 04:00:00,2572.925,2565.0290829818296,2592.75,2552.9,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000639,1748924100,2843,2025-06-03 04:15:00,2582.725,2568.977041490915,2592.75,2552.65,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000640,1748925000,768,2025-06-03 04:30:00,2577.2375,2575.8510207454574,2592.75,2530.7,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000641,1748925900,2943,2025-06-03 04:45:00,2561.725,2576.544260372729,2592.75,2530.7,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000642,1748926800,1936,2025-06-03 05:00:00,2506.55,2569.134630186364,2594.0,2450.5,0,1,False,False,red,False,True
1970-01-01 00:00:00.000000643,1748927700,2169,2025-06-03 05:15:00,2456.35,2537.842315093182,2594.0,2186.4,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000644,1748928600,2968,2025-06-03 05:30:00,2393.65,2497.096157546591,2594.85,2186.4,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000645,1748929500,12256,2025-06-03 05:45:00,2485.7749999999996,2445.3730787732957,2616.7,2118.0,1,0,True,False,black,False,False
1970-01-01 00:00:00.000000646,1748930400,5931,2025-06-03 06:00:00,2609.4375,2465.5740393866477,2613.35,2465.5740393866477,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000647,1748931300,5551,2025-06-03 06:15:00,2605.6625,2537.5057696933236,2607.7,2537.5057696933236,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000648,1748932200,8648,2025-06-03 06:30:00,2607.3375,2571.584134846662,2611.65,2571.584134846662,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000649,1748933100,7391,2025-06-03 06:45:00,2612.8875000000003,2589.460817423331,2617.65,2589.460817423331,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000650,1748934000,5352,2025-06-03 07:00:00,2615.525,2601.1741587116658,2618.95,2601.1741587116658,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000651,1748934900,7977,2025-06-03 07:15:00,2610.8,2608.349579355833,2613.65,2606.9,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000652,1748935800,7283,2025-06-03 07:30:00,2611.6499999999996,2609.5747896779167,2614.5,2609.5747896779167,0,0,False,False,green,False,False
