,Close,High,Low,Open,time,Volume,Timestamp,RSI,RSI_Smoothed,RSI_Momentum,Signal_Color,Long_Signal,Short_Signal,IsIB,BoxHigh,BoxLow,GreenArrow,RedArrow,BarColor,RF_UpperBand,RF_LowerBand,RF_Filter,RF_Trend,RF_BuySignal,RF_SellSignal
1970-01-01 00:00:00.000001187,102852.0,102897.9,102839.9,102854.3,1747475700,1570,2025-05-17 09:55:00,46.79612762242719,49.905311971878604,-3.109184349451418,STRONG_BEAR,0,0,True,102869.4,102788.6,False,False,orange,102972.6822024377,102763.95335235712,102868.3177773974,1.0,0,0
1970-01-01 00:00:00.000001186,102848.8,102848.8,102770.1,102820.0,1747475400,1626,2025-05-17 09:50:00,46.40636543190062,48.15583870188961,-1.7494732699889965,STRONG_BEAR,0,0,False,,,False,False,,102972.6822024377,102763.95335235712,102868.3177773974,1.0,0,0
1970-01-01 00:00:00.000001185,102804.8,102929.9,102773.0,102850.1,1747475100,2370,2025-05-17 09:45:00,41.16785066029079,44.6618446810902,-3.4939940207994056,STRONG_BEAR,0,0,False,,,False,False,,102972.6822024377,102763.95335235712,102868.3177773974,1.0,0,0
1970-01-01 00:00:00.000001184,102853.2,102940.4,102851.1,102862.3,1747474800,684,2025-05-17 09:40:00,48.3007347095486,46.481289695319404,1.8194450142292027,WEAK_BULL,0,0,True,102929.9,102773.0,False,False,orange,102972.6822024377,102763.95335235712,102868.3177773974,1.0,0,0
1970-01-01 00:00:00.000001183,102885.2,102943.4,102841.1,102943.3,1747474500,1153,2025-05-17 09:35:00,52.528809668763536,49.505049682041474,3.0237599867220695,WEAK_BULL,0,0,False,,,False,False,,102972.6822024377,102763.95335235712,102868.3177773974,1.0,0,0
1970-01-01 00:00:00.000001182,102979.9,103001.1,102812.8,102827.9,1747474200,3104,2025-05-17 09:30:00,62.58916280261417,56.04710624232782,6.542056560286348,STRONG_BULL,0,0,False,,,False,False,,102972.6822024377,102763.95335235712,102868.3177773974,1.0,0,0
1970-01-01 00:00:00.000001181,102810.9,102883.4,102783.0,102814.4,1747473900,3846,2025-05-17 09:25:00,44.07002940145677,50.0585678218923,-5.988538420435525,WEAK_BEAR,0,0,False,,,False,False,,102972.6822024377,102763.95335235712,102868.3177773974,1.0,0,0
1970-01-01 00:00:00.000001180,102905.0,103022.9,102880.0,103012.8,1747473600,2333,2025-05-17 09:20:00,52.72412187293613,51.39134484741422,1.3327770255219207,STRONG_BULL,0,0,False,,,False,False,,102972.6822024377,102763.95335235712,102868.3177773974,1.0,0,0
1970-01-01 00:00:00.000001179,103017.3,103120.0,102900.0,103110.0,1747473300,9338,2025-05-17 09:15:00,60.772604915245275,56.08197488132974,4.690630033915525,STRONG_BULL,0,0,False,,,False,False,,103002.42740081256,102770.94384559819,102886.68562320537,1.0,0,0
1970-01-01 00:00:00.000001178,103110.0,103296.4,103084.2,103296.4,1747473000,1924,2025-05-17 09:10:00,66.07056334524898,61.076269113289364,4.994294231959621,STRONG_BULL,0,0,False,,,False,False,,103074.14246693753,102827.81461255846,102950.97853974797,1.0,0,0
1970-01-01 00:00:00.000001177,103270.6,103506.5,103208.8,103392.5,1747472700,4384,2025-05-17 09:05:00,73.07147938325929,67.07387424827432,5.997605134984958,STRONG_BULL,0,0,False,,,False,False,,103205.11415564585,102944.26816838168,103074.69116201374,1.0,0,0
1970-01-01 00:00:00.000001176,103417.8,103435.5,103370.0,103370.0,1747472400,1039,2025-05-17 09:00:00,77.74750331228336,72.41068878027883,5.33681453200451,STRONG_BULL,0,0,True,103506.5,103208.8,False,False,orange,103346.90471854861,103070.32642762575,103208.61557308718,1.0,0,0
