,time,volume,Timestamp,close,open,high,low,RF_BuySignal,RF_SellSignal,atr,GreenArrow,RedArrow,BarIndex,Signal_Final
1970-01-01 00:00:00.000001522,1749821700,213724,2025-06-13 13:35:00,2554.4625,2544.202224894593,2561.6,2544.202224894593,1,0,9.26102886239073,False,False,19.0,0
1970-01-01 00:00:00.000001523,1749822000,101315,2025-06-13 13:40:00,2558.875,2549.332362447297,2561.55,2549.332362447297,0,0,9.276574401869539,True,False,20.0,1
1970-01-01 00:00:00.000001524,1749822300,106372,2025-06-13 13:45:00,2555.225,2554.1036812236484,2558.25,2549.2,0,0,9.214074401869539,False,False,1.0,0
1970-01-01 00:00:00.000001525,1749822600,134631,2025-06-13 13:50:00,2550.9875,2554.664340611824,2558.2,2544.55,0,0,9.610032678521423,False,False,2.0,0
1970-01-01 00:00:00.000001526,1749822900,112765,2025-06-13 13:55:00,2544.85,2552.8259203059124,2552.8259203059124,2541.4,0,0,9.89289898155539,False,True,3.0,0
1970-01-01 00:00:00.000001527,1749823200,213130,2025-06-13 14:00:00,2541.3624999999997,2548.837960152956,2554.0,2533.7,0,1,10.550041838698267,False,False,1.0,-1
1970-01-01 00:00:00.000001528,1749823500,329535,2025-06-13 14:05:00,2532.7625,2545.1002300764776,2545.1002300764776,2525.6,0,0,11.216517343028174,False,False,1.0,0
1970-01-01 00:00:00.000001529,1749823800,184381,2025-06-13 14:10:00,2529.4125,2538.9313650382387,2538.9313650382387,2523.6,0,0,11.824308666621684,False,False,1.0,0
1970-01-01 00:00:00.000001530,1749824100,242734,2025-06-13 14:15:00,2525.3625,2534.1719325191193,2534.1719325191193,2517.0,0,0,12.50499004270416,False,True,2.0,0
1970-01-01 00:00:00.000001531,1749824400,343130,2025-06-13 14:20:00,2516.8875,2529.76721625956,2529.76721625956,2504.7,0,0,13.906219775529896,False,False,1.0,0
1970-01-01 00:00:00.000001532,1749824700,164260,2025-06-13 14:25:00,2509.7625000000003,2523.32735812978,2523.32735812978,2506.3,0,0,14.429602499085604,False,False,1.0,0
